bedrijf;adres;oppervlakte;koeling;Sector;Sector-koeling;;;;
4 Fruit Company;Donk 15, Barendrecht;3500;Ja;Detailhandel;Detailhandel met koeling;;;;
4 Potato Holland B.V. ;Handelsweg 30, Ridderkerk;6843;Nee;Detailhandel;Detailhandel zonder koeling;;;;
A.F.L. Barendrecht B.V.;Peterselieweg 74, 2988 Ridderkerk;5297;Ja;Detailhandel;Detailhandel met koeling;;;;
Agro Fair Benelux B.V.;Koopliedenweg 10, 2991 LN Barendrecht;2344;Nee;Detailhandel;Detailhandel zonder koeling;;;;
Allround Cargo Handling bv;Selderijweg 80, Ridderkerk;23758;Nee;Detailhandel;Detailhandel zonder koeling;;;;
Ambtman jr. Import Export B.V.;Oosteinde 15, Barendrecht;1230;Nee;Detailhandel;Detailhandel zonder koeling;;;;
Angus Soft Fruits B.V. ;Peterselieweg 110, Ridderkerk;7565;Ja;Detailhandel;Detailhandel met koeling;;;;
Bakker Barendrecht;Laurierweg 80, Ridderkerk;10668;Ja;Detailhandel;Detailhandel met koeling;;;;
Berkman Groep;Tuindersweg 36, Barendrecht;222;Nee;Detailhandel;Detailhandel zonder koeling;;;Aanvulling loactie;
Best trucks ;Donk 1 a4, Barendrecht;60;Nee;Transport / logistiek;NA;;;;
Blankendaal Cold Stores B.V.;Olieweg 1 C, Velsen-Noord;11436;Ja;Groothandel;Groothandel met koeling;;;Aanvulling loactie;
Broom Frio Holding;NA;NA;Ja;Transport / logistiek;NA;;;;
CMR Holland B.V.;Peterselieweg 112, Ridderkerk;15129;Nee;Groothandel;Groothandel zonder koeling;;;;
Consistence;Fennaweg 53, Barendrecht;64;Nee;Onderzoek;NA;;;Aanvulling loactie;
Consistence Microstructure Research Laboratory ;Fennaweg 53, Barendrecht;64;Nee;Onderzoek;NA;;;;
Davis Global B.V.;Handelsweg 200, Ridderkerk;100;Nee;Transport / logistiek;NA;;;;
Davis Pure Foods B.V. ;Handelsweg 200, Ridderkerk;100;Nee;Transport / logistiek;NA;;;;
Dijco;Dierensteinweg 30, Barendrecht;5706;Ja;Groothandel;Groothandel met koeling;;;;
Europe Retail Packing Barendrecht B.V.;Selderijweg 90, Ridderkerk;19731;Ja;Groothandel;Groothandel met koeling;;;;
Fortuna Frutos Continental B.V.;Peterselieweg 112, Ridderkerk;15129;Ja;Transport / logistiek;NA;;;met benadering Transport;
Four Seasons Fruit Supply BV;Gebroken Meeldijk 52, Barendrecht;3910;Nee;Transport / logistiek;NA;;;met benadering Transport;
Fresh Pack Logistics;Handelscentrum ZHZ 55, Barendrecht;4794;Ja;Groothandel;Groothandel met koeling;;;;
Fresh Pride;Handelscentrum ZHZ 55, Barendrecht;4794;Nee;Groothandel;Groothandel zonder koeling;;;Aanvulling loactie;
Fresh2You;Transportweg 19, Barendrecht;6020;Nee;Groothandel;Groothandel zonder koeling;;;;
Frigoscandia B.V.;NA;NA;Ja;Groothandel;Groothandel met koeling;;;;
Frosinn B.V.;Handelsweg 190, Ridderkerk;1851;Nee;Groothandel;Groothandel zonder koeling;;;;
Fruit Queen B.V.;Leursebaan 262, Breda;11011;Nee;Groothandel;Groothandel zonder koeling;;;;
FruitOne Europe B.V.;Peterselieweg 112, Ridderkerk;15129;Ja;Transport / logistiek;NA;;;met benadering Transport;
Frukar B.V.;Transportweg 17, Barendrecht;5545;Ja;Detailhandel;Detailhandel met koeling;;;;
Frutyco B.V.;Handelsweg 82, Ridderkerk;510;Nee;Transport / logistiek;NA;;;met benadering Transport;
Hars & Hagebauer B.V.;Selderijweg 90, Ridderkerk;19731;Ja;Detailhandel;Detailhandel met koeling;;;Aanvulling loactie;
Hoofdman & Roodzand B.V.;Handelscentrum ZHZ 55, Barendrecht;4794;Ja;Detailhandel;Detailhandel met koeling;;;;
Jaguar the Fresh Company B.V.;Selderijweg 90, Ridderkerk;19731;Ja;Transport / logistiek;NA;;;;
JP Fruit Packing Service;Handelsweg 84, Ridderkerk;255;Nee;Detailhandel;Detailhandel zonder koeling;;;moet eigenlijk 83 zijn, maar geen gegevens;
Keelings Fresh International Limited;Handelsweg 40, Ridderkerk;7280;Ja;Transport / logistiek;NA;;;;
KivitsGoes Handling;Handelscentrum ZHZ 40 b, Barendrecht;250;Ja;Transport / logistiek;NA;;;;
Koninklijke Euser;Ebweg 7, Barendrecht;4216;Nee;Transport / logistiek;NA;;;;
Koring;Zweth 26, Barendrecht;65;Nee;Transport / logistiek;NA;;;met benadering Transport;
Lazy Foods;Handelsweg 150, Ridderkerk;1613;Ja;Groothandel;Groothandel met koeling;;;;
LCL Logistics;Handelsweg 40, Ridderkerk;7280;Ja;Groothandel;Groothandel met koeling;;;;
Looije Packing;NA;NA;Ja;Groothandel;Groothandel met koeling;;;;
Meeder Group;Donk 15, Barendrecht;3500;Ja;Groothandel;Groothandel met koeling;;;;
Niva Fresh International;Handelsweg 30, Ridderkerk;6843;Ja;Groothandel;Groothandel met koeling;;;;
OV Fruit B.V.;Peterselieweg 70 a, Ridderkerk;182;Ja;Groothandel;Groothandel met koeling;;;;
Purnatur;Handelsweg 40, Ridderkerk;7280;Ja;Groothandel;Groothandel met koeling;;;;
R&M Forwarding;NA;NA;Nee;Transport / logistiek;NA;;;;
ReFruit B.V.;Handelsweg 190, Ridderkerk;1851;Ja;Groothandel;Groothandel met koeling;;;;
Rivafruit B.V.;Koopliedenweg 5, Barendrecht;2504;Ja;Groothandel;Groothandel met koeling;;;;
Rungis B.V.;Transportweg 34, Barendrecht;992;Ja;Detailhandel;Detailhandel met koeling;;;;
Sawari Fresh International BV;Transportweg 22, Barendrecht;650;Nee;Detailhandel;Detailhandel zonder koeling;;;;
International BV;Meer en Duin 43 D, Lisse;1338;Ja;Transport / logistiek;NA;;;met benadering Transport;
The Greenery;Prismalaan West 44, Bleiswijk;112;Ja;Groothandel;Groothandel met koeling;;;moest 43 zijn;
Torres Tropical B.V.;Zuideinde 73, Barendrecht;285;Ja;Detailhandel;Detailhandel met koeling;;;;
Van Gelder Groente & Fruit;Krommeweg 10, Ridderkerk;28021;Ja;Detailhandel;Detailhandel met koeling;;;;
Van Ooijen Citrus B.V.;Handelsweg 149, Ridderkerk;1787;Ja;Detailhandel;Detailhandel met koeling;;;;
Van Vugt Kruiden;Hoogzandweg 16, Ridderkerk;21522;Ja;Groothandel;Groothandel met koeling;;;;
VDH Forwarding & Warehousing B.V.;Handelsweg 180, Ridderkerk;7140;Ja;Transport / logistiek;NA;;;;
VerDi Import B.V.;Koopliedenweg 38, Barendrecht;2725;Nee;Transport / logistiek;NA;;;;
Verita Holland BV;Handelsweg 35, Ridderkerk;386;Ja;Groothandel;Groothandel met koeling;;;;
Very Fruity B.V.;Koopliedenweg 3, Barendrecht;6674;Nee;Groothandel;Groothandel zonder koeling;;;;
VGK Cool Logistics B.V.;Selderijweg 90, Ridderkerk;19731;Ja;Groothandel;Groothandel met koeling;;;;
Zoutewelle Import Export BV;Handelsweg 140, Ridderkerk;8170;Ja;Detailhandel;Detailhandel met koeling;;;;
