bedrijf;adres;oppervlakte;koeling;Sector;Sector-koeling
Sligro Amsterdam;Baldermoer, 1046 BZ Amsterdam;51226;Ja;Groothandel;Groothandel met koeling
Jansen Houtimport B.V.;Scharenburg 2, 1046 BB Amsterdam;6765;Nee;Groothandel;Groothandel zonder koeling
Wentzel B.V.;Scharenburg 2, 1046 BB Amsterdam;6765;Nee;Groothandel;Groothandel zonder koeling
CWS Hygiene Amsterdam;Scharenburg 6, 1046 BB Amsterdam;2741;Nee;Overige dienstverlening;NA
Apollo Verhuizingen;Scharenburg 8, 1046 BB Amsterdam;1808;Nee;Vervoer en opslag;NA
Bilal Chicken Centre B.V.;Scharenburg 10, 1046 BB Amsterdam;3390;Ja;Groothandel;Groothandel met koeling
Swapfiets Amsterdam;Bilderdijkstraat 57H, 1053 KL Amsterdam;165;Nee;-;NA
Nipparts ;Scharenburg 14, 1046 BB Amsterdam;15941;Nee;Vervoer en opslag;NA
AP Logistics;Singaporestraat 9-11, 1175 RA Lijnden;755;Nee;Vervoer en opslag;NA
Amsterdam Warehouse Company/ Amsterdam Freight Company;Slego 1a, 1046 BM Amsterdam;799;Nee;Vervoer en opslag;NA
Peeters Global Logistics;Beiraweg 5, 1047 HN Amsterdam;5378;Nee;Vervoer en opslag;NA
Social Database;Slego 1a, 1046 BM Amsterdam;799;Nee;-;NA
AES International;Amsterdamseweg 409, 1181 BP Amstelveen;161;Nee;-;NA
Advion;Slego 1, 1046 BM Amsterdam;15278;Nee;Groothandel;Groothandel zonder koeling
Decorum Kantoormeubelen;Herwijk 12, 1046 BC Amsterdam;9277;Nee;Groothandel;Groothandel zonder koeling
Desko Kantoormeubelen;Latexweg 1, 1047 BJ Amsterdam;3752;Nee;Groothandel;Groothandel zonder koeling
Race Planet Amsterdam;Herwijk 10, 1046 BC Amsterdam;9672;Nee;-;NA
Brocacef;Maroastraat 43, 1060 LG Amsterdam;24137;Nee;Groothandel;Groothandel zonder koeling
Anker Amsterdam Spirits;Slego 2, 1046 BM Amsterdam;7686;Ja;Groothandel;Groothandel met koeling
Scania Amsterdam;Slego 4, 1046 BM Amsterdam;1869;Nee;Groothandel;Groothandel zonder koeling
PostNL Crossdock Amsterdam – Bornhout 5;Bornhout 5, 1046 PP Amsterdam;11080;Nee;Vervoer en opslag;NA
Post NL SCB Amsterdam – Australiëhavenweg 100;Australiëhavenweg 100, 1046 BP Amsterdam;31074;Nee;Vervoer en opslag;NA
Euromaster Amsterdam;Bornhout 11, 1046 BE Amsterdam;1499;Nee;Groothandel;Groothandel zonder koeling
Dronk bedrijfswagen onderdelen;Bornhout 13, 1046 BE Amsterdam;2654;Nee;Groothandel;Groothandel zonder koeling
Skynet Worldwide Express;Bornhout 15, 1046 BE Amsterdam;2400;Nee;Vervoer en opslag;NA
Fietsendepot Gemeente Amsterdam;Bornhout 8, 1046 BE Amsterdam;16042;Nee;Vervoer en opslag;NA
Anamet Europe;Galwin 5, 1046 AW Amsterdam;4591;Nee;Industrie en nutsbedrijven;NA
Gezamenlijke brandweer Amsterdam;Galwin 3, 1046 AW Amsterdam;5755;Nee;Openbaar bestuur;NA
Hulshoff Projectverhuizingen;Galwin 1, 1046 AW Amsterdam;1360;Nee;Vervoer en opslag;NA
Shell tankstation;Galwin 6, Amsterdam;101;Nee;Detailhandel;Detailhandel zonder koeling
Truckwash 1 Amsterdam;Galwin 4, 1046 AW Amsterdam;831;Nee;Vervoer en opslag;NA
IGT Europe Gaming;Galwin 2, 1046 AW Amsterdam;10150;Nee;Industrie en nutsbedrijven;NA
;;;;;
