uren;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
percentage;0,35;0,25;0,15;0,12;0,1;0,075;0,05;0;0;0;0;0;0;0;0;0;0;1;1;0,95;0,9;0,85;0,75;0,5;;;g;2,3
aantal auto's;6,3;4,5;2,7;2,16;1,8;1,35;0,9;0;0;0;0;0;0;0;0;0;0;18;18;17,1;16,2;15,3;13,5;9;;18;b=;18
kw op basis van een normale lader;138,6;99;59,4;47,52;39,6;29,7;19,8;0;0;0;0;0;0;0;0;0;0;396;396;376,2;356,4;336,6;297;198;;;;
datum;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-1-2023;18;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-1-2023;18,04112193;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-1-2023;18,08233781;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-1-2023;18,12364784;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-1-2023;18,16505225;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-1-2023;18,20655126;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-1-2023;18,24814506;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-1-2023;18,2898339;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-1-2023;18,33161797;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-1-2023;18,3734975;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-1-2023;18,4154727;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-1-2023;18,4575438;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-1-2023;18,49971102;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-1-2023;18,54197456;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-1-2023;18,58433466;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-1-2023;18,62679154;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-1-2023;18,66934541;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-1-2023;18,71199649;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-1-2023;18,75474502;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-1-2023;18,7975912;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-1-2023;18,84053527;;;;;;;;;;;;;;;;;;;;;;;;;;;
